2026-06-09 22:36:49,M04,RUNNING,46,87
2026-06-09 22:36:49,M04,RUNNING,40,73
2026-06-09 22:36:49,M01,STOPPED,36,87
2026-06-09 22:36:49,M06,STOPPED,32,45
2026-06-09 22:36:49,M04,STOPPED,26,78
2026-06-09 22:36:49,M03,RUNNING,25,78
2026-06-09 22:36:49,M04,STOPPED,38,61
2026-06-09 22:36:49,M05,RUNNING,20,47
2026-06-09 22:36:49,M06,STOPPED,20,86
2026-06-09 22:36:49,M06,STOPPED,43,43
2026-06-09 22:36:49,M04,STOPPED,33,88
2026-06-09 22:36:49,M06,RUNNING,39,83
2026-06-09 22:36:49,M04,RUNNING,39,75
2026-06-09 22:36:49,M05,STOPPED,48,55
2026-06-09 22:36:49,M04,STOPPED,42,76
2026-06-09 22:36:49,M06,RUNNING,32,67
2026-06-09 22:36:49,M05,RUNNING,34,75
2026-06-09 22:36:49,M04,RUNNING,41,75
2026-06-09 22:36:49,M06,STOPPED,44,90
2026-06-09 22:36:49,M01,RUNNING,31,42
